track_name,artist_name,release_date,genre,cluster
mohabbat bhi jhoothi,mukesh,1950,pop,1
i believe,frankie laine,1950,pop,16
cry,johnnie ray,1950,pop,2
patricia,pérez prado,1950,pop,13
apopse eida oneiro,giorgos papadopoulos,1950,pop,13
round and round (with mitchell ayres and his orchestra & the ray charles singers),perry como,1950,pop,17
opm medley: when i met you,freestyle,1950,pop,16
it's not for me to say,johnny mathis,1950,pop,18
klapse me mana klapse me,stélios kazantzídis,1950,pop,13
finito la mouzika,stélios kazantzídis,1950,pop,1
"drømmer man om den, vågner..",liva weel,1951,pop,1
carolina moon,the chordettes,1951,pop,18
necessary evil,frankie laine,1951,pop,17
kanugona galano,ghantasala,1951,pop,1
the carioca,les paul,1951,pop,13
chicken reel,les paul,1951,pop,15
blue skies,les paul,1951,pop,2
dark eyes,les paul,1951,pop,0
kotha mukunda,asha bhosle,1952,pop,7
awaz deta hai sola ka din,asha bhosle,1952,pop,8
jahan men log sachhe ashikon ko,mohammed rafi,1952,pop,1
avanee nee pathi,ghantasala,1952,pop,17
ee jagamantha natika,ghantasala,1952,pop,13
smoke rings,les paul,1952,pop,2
hum tujhse mohabbat kar ke,mukesh,1952,pop,2
paas nahin aaiye haath na lagaiye,lata mangeshkar,1952,pop,1
main na janoon,lata mangeshkar,1952,pop,2
gullyachi shapath,asha bhosle,1952,pop,3
judai ki khabar hoti agar,lata mangeshkar,1952,pop,18
maagata maagata janm gele,lata mangeshkar,1953,pop,1
chupke chupke (from ''paying guest''),lata mangeshkar,1953,pop,12
chahe kitna mujhe tum bulao ji,asha bhosle,1953,pop,1
tu bol na bol,asha bhosle,1953,pop,13
raat andheri door savera,mukesh,1953,pop,16
thunintha pin,ghantasala,1953,pop,16
i'm sitting on top of the world,les paul,1953,pop,2
the world is waiting for the sunrise,les paul,1953,pop,13
ethanai periya,t. m. soundararajan,1953,pop,9
ansoo to nahin hai ankhon men,talat mahmood,1953,pop,11
it's the most wonderful time of the year,andy williams,1953,pop,2
chandan ka palna resham ko dori,lata mangeshkar,1954,pop,16
le chal ri nindiya le chal hamen,lata mangeshkar,1954,pop,17
after you've gone,frankie laine,1954,pop,17
mere hamsafar tujhe kya khabar,asha bhosle,1954,pop,15
viljen i veta (would you like to know?),sven-bertil taube,1954,pop,16
blue velvet,bobby vinton,1954,pop,1
poema,los hermanos arriagada,1954,pop,1
the bells of st. mary's,the drifters,1954,pop,2
for me and my gal,the chordettes,1954,pop,2
mark twain,harry belafonte,1954,pop,2
the next big river,harry belafonte,1954,pop,17
sitaron ki mehfil saji,lata mangeshkar,1954,pop,0
gopiparivrito,a. m. rajah,1954,pop,11
you're the cream in my coffee,jonah jones,1954,pop,2
kabhi khamosh rahte hain,lata mangeshkar,1955,pop,1
khanke to khanke,mohammed rafi,1955,pop,1
here am i,johnnie ray,1955,pop,1
brazil,les paul,1955,pop,18
"baby, won't you please come home",les paul,1955,pop,17
jezebel,frankie laine,1955,pop,16
two hound dogs,bill haley & his comets,1955,pop,2
sleep,les paul,1955,pop,1
mera dil yeh pukare aaja,lata mangeshkar,1955,pop,1
to you my love,ted heath,1955,pop,17
believe in me,ted heath,1956,pop,16
take the “a” train,ted heath,1956,pop,9
pahuni raghunandan savala,lata mangeshkar,1956,pop,1
come rock with me,bill haley & his comets,1956,pop,4
antar mantar jantar,lata mangeshkar,1956,pop,12
kahan se yeh sholon ka toofan aaya,lata mangeshkar,1956,pop,1
temptation,the platters,1956,pop,1
unchained melody,harry belafonte,1956,pop,1
on my word of honor,the platters,1956,pop,13
just my imagination (running away with me),pete yorn,1956,pop,15
don't you know i love you,the clovers,1956,pop,16
"love, your magic spell is everywhere",johnny mathis,1956,pop,1
heart of stone,the platters,1956,pop,1
have mercy,the platters,1956,pop,13
you've changed,the platters,1956,pop,16
i do adore her,harry belafonte,1956,pop,1
"ciao, ciao, bambina",jerry vale,1956,pop,1
non dimenticar,jerry vale,1956,pop,13
al di la,jerry vale,1956,pop,1
matilda,harry belafonte,1956,pop,9
devil or angel,the clovers,1956,pop,17
hosanna,harry belafonte,1956,pop,17
volare (nel blu dipinto di blu),jerry vale,1956,pop,18
why should i,the platters,1956,pop,13
in other words (fly me to the moon),johnny mathis,1956,pop,2
i'll never be free,lavern baker,1956,pop,13
remember when,the platters,1956,pop,1
love love love,the clovers,1956,pop,15
it might as well be spring,johnny mathis,1956,pop,2
at your beck and call,the platters,1956,pop,16
september in the rain,the platters,1956,pop,2
i give you my word,the platters,1956,pop,13
more,jerry vale,1956,pop,13
summertime in venice,jerry vale,1956,pop,1
here goes a fool,the clovers,1956,pop,17
chinna kelbyaadve nanna ppuraana,t. m. soundararajan,1956,pop,13
remember me (the girl in the wood),frankie laine,1956,pop,16
blood beach,groovie ghoulies,1957,pop,17
am i blue?,ricky nelson,1957,pop,2
don't ever love me,harry belafonte,1957,pop,13
angelique-o,harry belafonte,1957,pop,8
true love,ricky nelson,1957,pop,13
by myself,johnny mathis,1957,pop,16
warm,johnny mathis,1957,pop,13
panchhi banoon udti phiroon,lata mangeshkar,1957,pop,2
miss you,billy vaughn,1957,pop,1
one kiss,eddie cochran,1957,pop,13
i'm glad there is you,johnny mathis,1957,pop,1
"baby, baby, baby",johnny mathis,1957,pop,1
undying love,eddie cochran,1957,pop,18
your true love,ricky nelson,1957,pop,11
