song_name,singer,song_id,cluster
Die in This Town,The Seige,0bqrFwY1HixfnusFxhYbDl,13
Grand,Kane Brown,4WZ3liyYz5ZzDcL4ibAuOi,15
Statement,NEFFEX,39kS4TwUw5yTJETWusq2VS,13
Wanchu Back,Aero Chord,3JIkZgwtTlbna1WEU9Qd5b,3
abcdefu,GAYLE,4fouWK6XVHhzl78KzQ1UjL,13
Ashes,Stellar,3Pj6u2KTgepyyidp5xfbHp,15
Wants Me,Stellar,3aX8IyRsjauJKO1Gd8G414,10
A Quiet Place,iamjakehill,09xqWZbpBCkrwXcn8j90PR,4
JOLT,Unlike Pluto,46mVyGyrRLWHjKEU4W023C,4
Blinding Lights,The Weeknd,0VjIjW4GlUZAMYd2vXMi3b,13
By My Side,Acejax,0vdAX9ymJSl2revby8OPGt,1
By My Side,Danilyon,0vdAX9ymJSl2revby8OPGt,1
Beautiful Mistakes (feat. Megan Thee Stallion),Maroon 5,6fRxMU4LWwyaSSowV441IU,7
Beautiful Mistakes (feat. Megan Thee Stallion),Megan Thee Stallion,6fRxMU4LWwyaSSowV441IU,7
Born For This,The Score,7uCBGNn991AM68fR4tSDco,15
Blood // Water,grandson,0AUyNF6iFxMNQsNx2nhtrw,3
Everything,Diamond Eyes,2goIIAg5kdzfwclJMFZM33,7
Fearless Pt. II,Lost Sky,4VZH6OfxPy1nNE7KbtVKyK,7
Fearless Pt. II,Chris Linton,4VZH6OfxPy1nNE7KbtVKyK,7
Ghost,Confetti,30uCmqegKQnH5AbOE51gPD,3
Grateful,NEFFEX,1e6aAbWR0MXCNcr4yQovNr,13
Howling,Cartoon,1FUbkX4ySdsOHoUOkyOJte,1
Howling,Asena,1FUbkX4ySdsOHoUOkyOJte,1
Happy Dog,DJ Moody,6xGFiMqcCJ7wcbH8DYdHRC,10
I'm Something Else,SomeThingElseyt,3zRgdfwiFzHeDq4VYOpYpk,15
I Remember,inverness,5PEc50zuLdBpkC9bOQTG2D,18
I Remember,Jack Newsome,5PEc50zuLdBpkC9bOQTG2D,18
Cradles,Owen King,1itIYPAICsDRZ9wxwOdqAO,16
Legends Never Die,League of Legends,1FpVJ7HpZInE2GvhVE2TwT,15
Legends Never Die,Against The Current,1FpVJ7HpZInE2GvhVE2TwT,15
Legends Are Made,Sam Tinnesz,0yqrhHrcWLMjBylHReDN5u,13
Life Is Fun,Boyinaband,6Q8mqjuz8xqdoUjhZQDfY7,19
Life Is Fun,TheOdd1sOut,6Q8mqjuz8xqdoUjhZQDfY7,19
On & On,Cartoon,4B2kkxg3wKSTZw5JPaUtzQ,7
On & On,Daniel Levi,4B2kkxg3wKSTZw5JPaUtzQ,7
Only One King,Tommee Profitt,2qzl10bAolDzYE505AWfIV,13
Only One King,Jung Youth,2qzl10bAolDzYE505AWfIV,13
Sunny,Papa Ya,5UVsz8nRCO3hJV1fp80Dll,3
