artists,songs
Shaboozey,A Bar Song (Tipsy)
Kendrick Lamar,Not Like Us
Teddy Swims,Lose Control
"Falling In Reverse, Tech N9ne & Alex Terrible",Ronald
Kendrick Lamar,euphoria
Kendrick Lamar,meet the grahams
Benson Boone,Beautiful Things
Tommy Richman,MILLION DOLLAR BABY
Hozier,Too Sweet
Reba McEntire,I Can't
Randy Travis,Where That Came From
Zhang Zhe Han,Can You Hear Me
Shaboozey,A Bar Song (Tipsy)
Sabrina Carpenter,Espresso
"Future, Metro Boomin & Kendrick Lamar",Like That
Drake,Family Matters
Taylor Swift,Fortnight (feat. Post Malone)
Marshmello & Kane Brown,Miles On It
Teddy Swims,The Door
Tim McGraw,Live Like You Were Dying
Dua Lipa,Training Season
Artemas,i like the way you kiss me
"Tauren Wells, We The Kingdom & Davies",Take It All Back
Jelly Roll,Save Me (with Lainey Wilson)
Morgan Wallen,Cowgirls (feat. ERNEST)
Jelly Roll,Halfway To Hell
Dasha,Austin
Luke Combs,Where the Wild Things Are
Noah Kahan,Stick Season
Dua Lipa,Illusion
The Red Clay Strays,Wondering Why
Coheed and Cambria,The Joke
Paul Russell,Lil Boo Thang
4batz & Kanye West,act iii: on god? (she like) [remix]
4batz,act v: there goes another vase
Lainey Wilson,Wildflowers and Wild Horses (Single Version)
Taylor Swift,I Can Do It With a Broken Heart
4batz,act iii: on god? (she like) [slowed down]
Ariana Grande,we can't be friends (wait for your love)
4batz,act iii: on god? (she like) [sped up]
Jelly Roll,Need a Favor
Ini Kamoze,Here Comes the Hotstepper (Heartical Mix)
Disturbed,The Sound of Silence (CYRIL Remix)
Cody Johnson,Dirt Cheap
Forrest Frank,GOOD DAY
Jelly Roll,Save Me
Jack Harlow,Lovin On Me
4batz,act iv: fckin u (18+) [sped up]
Natasha Bedingfield,Unwritten
Benson Boone,Beautiful Things
4batz,act ii: date @ 8
Drake,Push Ups
HARDY,TRUCK BED
4batz,act iv: fckin u (18+) [slowed down]
Dasha,Austin
Teddy Swims,Hammer to the Heart
"Hank Williams, Jr.",A Country Boy Can Survive
Zach Bryan,I Remember Everything (feat. Kacey Musgraves)
Beyoncé,TEXAS HOLD 'EM
The Kiffness,I Go Meow
Taylor Swift,Cruel Summer
Elevation Worship,"Praise (feat. Brandon Lake, Chris Brown & Chandler Moore)"
Morgan Wallen,Last Night
Keith Urban & Lainey Wilson,GO HOME W U
Dua Lipa,Houdini
Miley Cyrus,Flowers
Lee Brice,Hard to Love
GloRilla & Megan Thee Stallion,Wanna Be
Chris Stapleton,White Horse
Benson Boone,Slow It Down
Morgan Wallen,Thinkin’ Bout Me
Luke Combs,Fast Car
Nate Smith,Bulletproof
Chris Stapleton,Tennessee Whiskey
Tucker Wetmore,Wine Into Whiskey
4batz,act ii: date @ 8 (slowed down)
August Moon,Closer
4batz,act ii: date @ 8 (sped up)
SZA,Saturn
4batz,umademeast4r.mp3
Royale Lynn & Danny Worsnop,Death Wish
Beyoncé & Miley Cyrus,II MOST WANTED
4batz,act iii: on god? (she like)
Sia,Unstoppable
Shinedown,A Symptom Of Being Human
Lil Durk,Broadway Girls (feat. Morgan Wallen)
4batz,act vi: mad man
Bailey Zimmerman,Religiously
Djo,End of Beginning
Taylor Swift,Who’s Afraid of Little Old Me?
CeCe Winans,Goodness of God (Live)
4batz,get out yo feelings ho
Muni Long,Made For Me
Pitbull & Dolly Parton,Powerful Women
GloRilla & Megan Thee Stallion,Wanna Be
4batz,"act i: stickerz ""99"""
4batz,"act vii: all we do is argue, argue"
4batz,act viii: i hate to be alone
4batz,act iv: fckin u (18+)
